,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
MN594532,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Anodonta_47527,Anodonta cygnea_47528,,phylum
KP965872,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Holacanthus_75023,Holacanthus passer_272788,,class
MF491549,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus crotchii_308469,,phylum
MT588202,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Perna_38948,Perna perna_94826,,phylum
KU996360,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus gloriamaris_37336,,phylum
MF571906,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Cheloniidae_8465,Eretmochelys_27786,Eretmochelys imbricata_27787,,subphylum
MT447062,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Nodularia_1830174,Nodularia douglasiae_1830228,,phylum
LT599483,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis carbonarius_50047,,subphylum
KY021075,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Unio_55836,Unio tumidus_143298,,phylum
MG979460,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Tateidae_1345660,Potamopyrgus_145636,Potamopyrgus antipodarum_145637,,phylum
AP013032,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Peltospiridae_55007,Chrysomallon_1714428,Chrysomallon squamiferum_216257,,phylum
MT727028,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus niloticus_8501,,subphylum
FJ605486,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis tuberculata_36103,,phylum
MT180323,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Amphioctopus_505395,Amphioctopus fangsiao_515817,,phylum
MT916741,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Bathymodiolus_12965,Bathymodiolus aduloides_268473,,phylum
