,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
KU342664,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cycloneritida_977767,Hydrocenidae_200187,Georissa_200188,Georissa bangueyensis_1882664,,phylum
KC757645,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Caudofoveata_52919,Limifossorida_53694,Scutopodidae_53695,Scutopus_52921,Scutopus ventrolineatus_52922,,phylum
KU365324,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Plakobranchidae_71492,Elysia_71493,Elysia ornata_305967,,phylum
JQ361816,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Lissemys_55541,Lissemys scutata_227466,,subphylum
ON556619,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Dascyllus_50744,Dascyllus trimaculatus_50790,,class
MH198165,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Penion_128481,Penion fairfieldae_620534,,phylum
DQ256377,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Platysternidae_1579279,Platysternon_55543,Platysternon megacephalum_55544,,subphylum
Y13113,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Alligatoridae_1294636,Alligator_8495,Alligator mississippiensis_8496,,subphylum
KT161262,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Pectinida_106218,Pectinidae_6566,Argopecten_31198,Argopecten irradians_31199,,phylum
KU310896,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis discus_36094,,phylum
MK240320,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Trochidae_6466,Monodonta_43340,Monodonta labio_74046,,phylum
AB355909,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Menidae_30852,Mene_206144,Mene maculata_206145,,class
GU001953,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Arcuatula_1954224,Arcuatula senhousia_1954227,,phylum
MN594534,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Anodonta_47527,Anodonta nuttalliana_358454,,phylum
KX610997,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Glaucidae_216354,Sakuraeolis_797259,Sakuraeolis japonica_1939669,,phylum
KX356680,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Achatinellidae_115910,Achatinella_115911,Achatinella sowerbyana_115944,,phylum
MZ562559,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Batagur_72006,Batagur kachuga_698410,,subphylum
KX156937,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus striatus_6493,,phylum
KF728889,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cycloneritida_977767,Neritidae_52926,Nerita_52927,Nerita tessellata_537792,,phylum
KP938958,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Mauremys_74925,Mauremys mutica_74926,,subphylum
MW727510,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Arcuatula_1954224,Arcuatula senhousia_1954227,,phylum
KT207825,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Fissurellidae_54986,Diodora_54987,Diodora graeca_120387,,phylum
FJ809753,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Venustaconcha_301927,Venustaconcha ellipsiformis_301928,,phylum
KX263255,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Lilliconus_1340099,Lilliconus sagei_1917169,,phylum
KC545800,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sciaenidae_30870,Pennahia_118564,Pennahia argentata_118565,,class
AP009169,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Monodactylidae_30853,Monodactylus_334895,Monodactylus argenteus_334896,,class
OK377340,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Pelodiscus_204969,Pelodiscus maackii_980080,,subphylum
MW662610,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Venus_55714,Venus verrucosa_55715,,phylum
KU952092,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Littorinidae_31212,Littorina_31213,Littorina fabalis_45784,,phylum
MN747044,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Geomitridae_1920660,Candidula_100451,Candidula unifasciata_100452,,phylum
JN678726,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sciaenidae_30870,Collichthys_240158,Collichthys niveatus_240160,,class
KX263256,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Profundiconus_1340111,Profundiconus teramachii_1898423,,phylum
MN885916,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Mecistops_423492,Mecistops leptorhynchus_2784188,,subphylum
MN604232,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,Megalobrama terminalis x Culter alburnus_2717855,,order
GU949546,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,triploid Megalobrama amblycephala x Xenocypris davidi_747041,,order
KX688548,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Sinotaia_200190,Sinotaia quadrata_200191,,phylum
JF284697,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
MW478833,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Euprymna_6612,Euprymna pardalota_2302357,,phylum
JQ030887,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Amphiprion_80969,Amphiprion bicinctus_367269,,class
MW376910,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Siganidae_75382,Siganus_75041,Siganus rivulatus_216359,,class
JN582335,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Cyclemys_74915,Cyclemys oldhami_378289,,subphylum
HM856639,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Toxolasma_152250,Toxolasma parvum_227614,,phylum
MW118678,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Callista_78548,Callista chinensis_990943,,phylum
DQ080049,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Testudo_86974,Testudo graeca_86975,,subphylum
MH198163,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Cominella_128472,Cominella adspersa_128473,,phylum
KY244081,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Solemyida_42656,Solemyidae_42657,Solemya_13267,Solemya velesiana_395966,,phylum
KU952094,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Littorinidae_31212,Littorina_31213,Littorina saxatilis_31220,,phylum
MK587518,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Cyrenidae_1176409,Corbicula_45948,Corbicula fluminea_45949,,phylum
MK392334,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Cyrenidae_1176409,Corbicula_45948,Corbicula fluminea_45949,,phylum
MT768045,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Nassariidae_6483,Tritia_1912890,Tritia elata_2824858,,phylum
KM216749,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Emydidae_8476,Trachemys_34902,Trachemys scripta_34903,,subphylum
MT372820,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Sacalia_74933,Sacalia quadriocellata_74934,,subphylum
AP006828,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sphyraenidae_27769,Sphyraena_13691,Sphyraena barracuda_70868,,class
KJ569363,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Chitonida_6652,Mopaliidae_34585,Cryptochiton_6654,Cryptochiton stelleri_6655,,phylum
KT309078,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sillaginidae_30874,Sillago_43257,Sillago japonica_43258,,class
HM462080,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus trossulus_6551,,phylum
KY864977,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus ermineus_55423,,phylum
MH198162,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Buccinulum_128468,Buccinulum pertinax_620028,,phylum
AB355918,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Polynemidae_30917,Polydactylus_320381,Polydactylus plebeius_392546,,class
MT947382,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Vesicomyidae_6588,Archivesica_1298642,Archivesica gigas_1298643,,phylum
MT410844,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Tateidae_1345660,Potamopyrgus_145636,Potamopyrgus antipodarum_145637,,phylum
FJ809751,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Quadrula_52370,Quadrula quadrula_52372,,phylum
KX815959,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,,Laternulidae_182724,Laternula_182725,Laternula elliptica_228457,,phylum
MW694828,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cycloneritida_977767,Neritidae_52926,Neritina_159947,Neritina iris_590962,,phylum
AP009125,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pseudochromidae_30866,Labracinus_270573,Labracinus cyclophthalmus_270574,,class
MN125492,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Volutidae_57614,Neptuneopsis_2695883,Neptuneopsis gilchristi_2695884,,phylum
KT851547,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,_Megalobrama amblycephala x Megalobrama terminalis_ x Megalobrama amblycephala_1795873,,order
FJ841964,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea ariakensis_94323,,phylum
MW242818,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Rectidens_1903497,Rectidens sumatrensis_1903498,,phylum
HQ283348,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Sinanodonta_1069814,Sinanodonta woodiana_1069815,,phylum
KU246047,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Neptunea_57632,Neptunea arthritica_458030,,phylum
KU342667,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cycloneritida_977767,Neritidae_52926,Theodoxus_55033,Theodoxus fluviatilis_120472,,phylum
MT762156,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Nassariidae_6483,Nassarius_6484,Nassarius nitidus_444096,,phylum
MK481950,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Cyrenidae_1176409,Villorita_1176410,Villorita cyprinoides_1176411,,phylum
KY857552,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Emydura_44499,Emydura macquarii_90392,,subphylum
EF434638,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus galloprovincialis_29158,,phylum
MT712046,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Octopus_6643,Octopus sinensis_2607531,,phylum
EF025185,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Siganidae_75382,Siganus_75041,Siganus fuscescens_225757,,class
DQ529236,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Hexapoda_6960,,Diplura_29997,Campodeidae_61993,Campodea_89972,Campodea fragilis_383857,,subphylum
KU525108,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Achatinellidae_115910,Achatinella_115911,Achatinella mustelina_115943,,phylum
KY776449,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Chelodina_44490,Chelodina colliei_1576368,,subphylum
MN864060,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Chitonida_6652,Chitonidae_39684,Chiton_256107,Chiton albolineatus_2719130,,phylum
MK783262,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Arcoida_6552,Arcidae_6553,Anadara_6554,Anadara antiquata_142560,,phylum
MN885914,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Mecistops_423492,Mecistops cataphractus_184780,,subphylum
AP013075,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiidae_6608,Sepia_6609,Sepia lycidas_296134,,phylum
OM327796,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Cuora_72005,Cuora mccordi_241437,,subphylum
HQ832672,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis diversicolor_36095,,phylum
MT919639,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Cadlina_71295,Cadlina japonica_589684,,phylum
MG978990,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Cardiida_2783445,Psammobiidae_61354,Hiatula_2341033,Hiatula chinensis_1170841,,phylum
KT626607,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Arionidae_6540,Arion_6542,Arion rufus_6543,,phylum
LC276227,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis quadrasi_1454754,,phylum
KR297249,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Seguenziida_2315726,Chilodontidae_479584,Granata_479585,Granata lyrata_479586,,phylum
MN594538,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Unio_55836,Unio mancus_271779,,phylum
MT800513,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Chromis_80974,Chromis notata_486151,,class
OM910827,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Myida_278205,Teredinidae_114952,Teredothyra_1049065,Teredothyra matocotana_2795841,,phylum
KC185403,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Pupillidae_225580,Gastrocopta_318159,Gastrocopta cristata_1128339,,phylum
MT727020,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus novaeguineae_8503,,subphylum
FJ862792,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Carettochelyidae_44487,Carettochelys_44488,Carettochelys insculpta_44489,,subphylum
KX815957,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,,Clavagellidae_228458,Bryopa_1919255,Bryopa lata_1969317,,phylum
KY864975,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus goudeyi_2182798,,phylum
MF148856,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Nassariidae_6483,Reticunassa_1885924,Reticunassa festiva_1052094,,phylum
OL405264,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Palea_161717,Palea steindachneri_161718,,subphylum
AY905542,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea virginica_6565,,phylum
MH400188,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus quercinus_101313,,phylum
DQ991931,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Chromodoris_71297,Chromodoris magnifica_262608,,phylum
KM192124,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus trossulus_6551,,phylum
EF050073,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Lissemys_55541,Lissemys punctata_55542,,subphylum
KF874616,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Emydidae_8476,Chrysemys_8477,Chrysemys picta_8479,,subphylum
MK394099,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Macridiscus_900989,Macridiscus multifarius_1408811,,phylum
KJ855258,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea sikamea_94324,,phylum
KP965870,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Apolemichthys_109716,Apolemichthys armitagei_1701550,,class
MG979469,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Tateidae_1345660,Potamopyrgus_145636,Potamopyrgus antipodarum_145637,,phylum
MZ934412,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Cancellariidae_55860,Sydaphera_913000,Sydaphera spengleriana_1088891,,phylum
KY776438,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Elseya_44496,Elseya novaeguineae_904238,,subphylum
KP033452,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Chaetodontoplus_109720,Chaetodontoplus conspicillatus_1633020,,class
MT483676,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Myida_278205,Dreissenidae_45950,Dreissena_45951,Dreissena polymorpha_45954,,phylum
KR350466,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Ampullariidae_54973,Pomacea_72702,Pomacea occulta_2708134,,phylum
MW194096,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Nassariidae_6483,Tritia_1912890,Tritia tingitana_1934740,,phylum
AY962573,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Pelodiscus_204969,Pelodiscus sinensis_13735,,subphylum
MN864054,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Chitonida_6652,Chitonidae_39684,Tonicia_291887,Tonicia forbesii_1503220,,phylum
AB979272,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Amphiprion_80969,Amphiprion ephippium_1129554,,class
EU827196,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Terebridae_57610,Oxymeris_553718,Oxymeris dimidiata_1076716,,phylum
ON464164,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Brachidontes_40253,Brachidontes pharaonis_205971,,phylum
KR912215,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiidae_6608,Sepiella_153279,Sepiella maindroni_153280,,phylum
MK783266,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Cardiida_2783445,Cardiidae_55708,Vasticardium_80825,Vasticardium flavum_80826,,phylum
MH919387,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Pseudocuneopsis_2970803,Pseudocuneopsis capitata_2856828,,phylum
MT834950,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Sinotaia_200190,Sinotaia quadrata_200191,,phylum
JQ417194,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Helicidae_6533,Cornu_2749756,Cornu aspersum_6535,,phylum
GU183364,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Sacalia_74933,Sacalia bealei_204942,,subphylum
MF004312,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sciaenidae_30870,Johnius_240164,Johnius carouna_1642187,,class
LC276224,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
AP014552,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Vesicomyidae_6588,Phreagena_1298644,Phreagena kilmeri_1871143,,phylum
MH995533,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Amblyglyphidodon_80967,Amblyglyphidodon curacao_80968,,class
AJ132137,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Littorinidae_31212,Littorina_31213,Littorina saxatilis_31220,,phylum
JQ034420,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Cheloniidae_8465,Chelonia_8468,Chelonia mydas_8469,,subphylum
