,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
KC568457,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Eustigmatophyceae_5747,Eustigmatales_425074,Monodopsidaceae_425072,Nannochloropsis_5748,Nannochloropsis granulata_43926
MF622087,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina japonica x Saccharina latissima_1041932
KM501562,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Turbinaria_86656,Turbinaria ornata_86657
MZ156054,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Lessoniaceae_35120,Ecklonia_105406,Ecklonia radicosa_2041055
MT795187,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum horneri_74089
KY084910,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum fluitans_143163
KJ957769,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Scytosiphonaceae_2891,Petalonia_2892,Petalonia fascia_2893
MG202006,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Colponemida_2683325,Colponemidia_1492816,Colponema_1421213,Colponema vietnamica_1492817
KC573040,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Filasterea_2687318,,,Ministeria_134557,Ministeria vibrans_134558
MW438348,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Pelagophyceae_35675,Pelagomonadales_54409,,Aureococcus_44055,Aureococcus anophagefferens_44056
MZ488957,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria crassifolia_98220
MG680942,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Cryptomonadales_589350,Cryptomonadaceae_2896,Cryptomonas_3030,Cryptomonas curvata_233186
KT280278,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum polycystum_127578
MG940856,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Dictyotales_2873,Dictyotaceae_2874,Dictyopteris_112054,Dictyopteris divaricata_156996
