,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
MH392199,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Nereocystis_117522,Nereocystis luetkeana_117523
MZ156058,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Pelagophycus_50952,Pelagophycus porra_50953
LC369600,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Ophirinidae_2963707,Ophirina_2598729,Ophirina amphinema_2108040
MT712045,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum siliquastrum_127572
MZ156062,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina subsessilis_2173147
KP280065,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum thunbergii_127542
LC384959,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Raphidophyceae_38410,Chattonellales_658125,Chattonellaceae_658124,Heterosigma_2828,Heterosigma akashiwo_2829
MG488291,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Scytosiphonaceae_2891,Endarachne_698475,Endarachne binghamiae_698476
AF193903,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Bigyra_2683628,Bicosoecida_33651,Cafeteriaceae_238884,Cafeteria_33652,Cafeteria roenbergensis_33653
MZ488959,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Alariaceae_2887,Alaria_2888,Alaria marginata_98221
MK702077,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Bigyra_2683628,Bicosoecida_33651,,Cafileria_2603342,Cafileria marina_2557541
KC353358,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Histionidae_556285,Reclinomonas_48482,Reclinomonas americana_48483
MZ156052,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Desmarestiales_31337,Desmarestiaceae_31338,Desmarestia_31339,Desmarestia aculeata_62298
MW682827,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum feldmannii_2855561
AP011496,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina diabolica_416837
